corrupt_text,correct_text,corruption
CQ CQ CQ DE DL2ABC DL2ABC K UR RST 5NN 5NN HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY NW BT TNX FER CALL AR DL2ABC DE K1XYZ K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 5NN 5NN HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY NW BT TNX FER CALL AR DL2ABC DE K1XYZ K,none
CQ CQ CQ DE PY2AA PY2AA K UR RST 5NN 5NN OP LUIS QTH SAO PAULO WX CLEAR TEMP 30C ANT BEAM HW CPY BK DE PY2AA K,CQ CQ CQ DE PY2AA PY2AA K UR RST 5NN 5NN OP LUIS QTH SAO PAULO WX CLEAR TEMP 30C ANT BEAM HW CPY BK DE PY2AA K,none
CQ CQ CQ CQ CQ DE DE DE JA1YAA JA1YAA K UR RST 5NN IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK BK BK DE JA1YAA K,CQ CQ CQ DE JA1YAA JA1YAA K UR RST 5NN IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK DE JA1YAA K,corrupt_duplicates
CQ TEST DE ? ? ? ? ? ? ? ?,CQ TEST DE K1XYZ K1XYZ TEST 599 001 MA BK EE,corrupt_heavy
CQ ? CQ ? PY2AA PY2AA ? UR RST ? 5NN ? LUIS ? SAO PAULO ? CLEAR TEMP ? ? ? ? ? BK DE ? K,CQ CQ CQ DE PY2AA PY2AA K UR RST 5NN 5NN OP LUIS QTH SAO PAULO WX CLEAR TEMP 30C ANT BEAM HW CPY BK DE PY2AA K,corrupt_heavy
V??XYZ DE VK2ZY R FB DAV? TNX REPT ? RS? 559 ? OP ? QTH SYDNEY RI? HOMEBREW ANT DOUBLET BT WX ? HOT H? ?W CPY AR VK2ZY K,VE3XYZ DE VK2ZY R FB DAVE TNX REPT UR RST 559 559 OP MATT QTH SYDNEY RIG HOMEBREW ANT DOUBLET BT WX VY HOT HR HW CPY AR VK2ZY K,corrupt_question_marks
QRZ ? ?,QRZ K1XYZ K,corrupt_heavy
CQ TES? DE DE DE DE ??XYZ K1XYZ TEST 599 001 MA BK BK BK BK EE,CQ TEST DE K1XYZ K1XYZ TEST 599 001 MA BK EE,corrupt_combined
? ? ? ? ? OM ? ? QSO ? RST ? 579 ? ? ? ? ? ? K3 RUNNING ? ANT ? SO VY ? COPY ? AR G4ZAA ? ? ?,K1XYZ DE G4ZAA OK DR OM TNX FB QSO UR RST 579 579 OP AMY QTH LONDON RIG IS K3 RUNNING 100W ANT YAGI SO VY FB COPY HR AR G4ZAA DE K1XYZ K,corrupt_heavy
T?X FB QSO DR ALEX 73 E? CUL DR OM TU BI BI SK ? DE K1XYZ CL,TNX FB QSO DR ALEX 73 ES CUL DR OM TU BI BI SK DL2ABC DE K1XYZ CL,corrupt_question_marks
K1XYZ DE ?4ZAA OK ? OM TNX FB QSO UR RST ? 579 OP AMY QTH LONDON RIG IS K3 RUNNING 100W ANT YA?I ? VY FB COPY HR AR G4ZAA DE K1XYZ K,K1XYZ DE G4ZAA OK DR OM TNX FB QSO UR RST 579 579 OP AMY QTH LONDON RIG IS K3 RUNNING 100W ANT YAGI SO VY FB COPY HR AR G4ZAA DE K1XYZ K,corrupt_question_marks
QRZ DX DE ZS6XYZ UP 2 U5 REPEAT UR CALL ONLY STN ENDING IN MIAMI KN,QRZ DX DE ZS6XYZ UP 2 U5 REPEAT UR CALL ONLY STN ENDING IN MIAMI KN,none
CQ CQ CQ DE K1XYZ K,CQ CQ CQ DE K1XYZ K,none
TU 73 CUL SKSK,TU 73 CUL SK,corrupt_timing_errors
SOS SOS CQD DEDE BLN,SOS SOS CQD DE BLN,corrupt_timing_errors
CQ CQ CQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ? QTH COLOGNE HW CPY? K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,corrupt_question_marks
CQ ? ? DE ? DL2ABC K UR RST ? ? HR ? ? ? ? ? ALEX QTH COLOGNE ? CPY? K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,corrupt_heavy
JA1YAA DE VE3XYZ R OK KEN ? ? 5NN ? ? ? ? ? VY ? COPY ? QRM ? 100W ? IS ? ? AR ? ? ? K,JA1YAA DE VE3XYZ R OK KEN UR SIGS 5NN HR OP DAVE QTH TORONTO VY FB COPY NO QRM PWR 100W ANT IS LONG WIRE AR VE3XYZ DE JA1YAA K,corrupt_heavy
? 73 CUL SK,TU 73 CUL SK,corrupt_heavy
K1XYZ DE YL3ZM YL3ZM R UR SIGS 5NN IN RIGA OP JALIS RIG HR FT817 PWR 5W ANT DIPOLE UP 10M WX CLOUDY BT HW CPY AR YL3ZM DEDE K1XYZ K,K1XYZ DE YL3ZM YL3ZM R UR SIGS 5NN IN RIGA OP JALIS RIG HR FT817 PWR 5W ANT DIPOLE UP 10M WX CLOUDY BT HW CPY AR YL3ZM DE K1XYZ K,corrupt_timing_errors
CQCQ CQ CQ CQ DEDE DL2ABC DL2ABC K ?R RST 5N 5N HR FB WX TEMP 2?C OP ALEX QTH COLOGNE HW CPY NW BT TNX FER CALL AR DL2ABC DEDE K1XYZ K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 5NN 5NN HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY NW BT TNX FER CALL AR DL2ABC DE K1XYZ K,corrupt_combined
? WARM TEMP 25C K,WX WARM TEMP 25C K,corrupt_combined
K1X?Z DE G4ZAA OK DR OM TNX FB QSO UR ? 579 579 OP AMY QTH LONDON RIG I? K3 RUNNING 100W ANT ? SO VY FB COPY ? AR G?ZA? DE K1XYZ K,K1XYZ DE G4ZAA OK DR OM TNX FB QSO UR RST 579 579 OP AMY QTH LONDON RIG IS K3 RUNNING 100W ANT YAGI SO VY FB COPY HR AR G4ZAA DE K1XYZ K,corrupt_combined
